"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: December 2010 - February 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 3/20/2012","","","","","",""

"","","","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012"
"","","    Total Internet : Total Audience ","1,323,535","1,333,403","1,339,496","1,350,539","1,362,369","1,373,976","1,383,098","1,394,031","1,411,178","1,420,316","1,431,939","1,438,877","1,444,092","1,450,588","1,448,160"
"1","[P]","    Google Sites","972,486","985,289","976,374","996,706","990,970","1,009,699","1,023,643","1,031,584","1,048,918","1,066,695","1,083,316","1,081,821","1,092,912","1,107,467","1,107,171"
"2","[P]","    Microsoft Sites","867,914","889,163","837,039","895,813","892,893","905,454","882,818","898,728","887,917","914,237","878,510","886,560","897,860","889,202","855,114"
"3","[P]","    FACEBOOK.COM","662,420","675,361","676,733","692,998","697,970","713,647","734,240","736,465","752,382","769,655","788,181","792,999","794,349","805,604","790,100"
"4","[P](u)","    Yahoo! Sites","627,523","639,715","659,277","679,738","676,356","689,105","671,573","673,798","686,311","701,378","702,712","707,537","702,031","706,276","688,394"
"5","[P]","    Wikimedia Foundation Sites","395,472","413,957","379,415","400,011","380,716","411,061","399,362","393,543","422,779","454,529","476,627","474,723","457,063","482,157","475,699"
"6","[P](u)","    Amazon Sites","263,450","258,169","233,765","271,264","268,611","284,321","282,233","288,766","302,455","319,548","338,444","350,769","366,199","368,190","353,548"
"7","[P]","    Apple Inc.","240,557","236,347","221,271","234,944","228,366","244,182","246,889","256,743","260,749","264,537","299,360","285,234","295,771","302,250","290,757"
"8","[P](u)","    CBS Interactive","221,362","226,135","210,949","234,656","217,686","220,230","214,019","217,962","226,901","242,571","244,382","238,148","245,870","259,109","253,798"
"9","[P]","    Baidu.com Inc.","185,005","190,956","192,845","202,995","201,227","211,060","215,086","225,898","231,609","237,997","243,226","241,368","246,108","250,655","252,933"
"10","[P]","    TENCENT Inc.","215,211","208,512","207,793","214,254","216,190","220,707","229,175","237,849","243,094","245,220","249,286","248,554","248,644","252,822","249,661"
