"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: March 2012 - May 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/14/2013","","","","","",""

"","","","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013"
"","","    Total Internet : Total Audience ","1,471,414","1,477,810","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410","1,519,555","1,525,501","1,530,895","1,526,768","1,554,797","1,560,778","1,566,524"
"1","[P]","    Google Sites","1,139,459","1,142,257","1,150,223","1,157,992","1,173,102","1,161,178","1,133,937","1,140,335","1,124,825","1,136,502","1,140,056","1,123,439","1,163,988","1,179,091","1,185,840"
"2","[P](u)","    Microsoft Sites","874,946","841,169","840,482","863,276","857,640","853,791","849,708","871,044","873,262","868,099","878,268","852,263","896,209","914,598","920,877"
"3","[P](u)","    Yahoo! Sites","712,066","697,754","698,974","694,477","679,619","698,651","715,742","730,535","728,361","735,098","736,122","708,166","742,145","742,804","742,449"
"4","[P]","    Wikimedia Foundation Sites","489,402","473,380","492,393","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473","482,999","517,610","516,749","521,767"
"5","[P](u)","    Amazon Sites","361,472","347,640","348,139","342,898","349,307","352,400","362,129","369,504","379,102","388,671","383,891","352,119","384,160","390,465","395,669"
"6","[P]","    Baidu.com Inc.","262,638","259,294","258,963","265,875","268,978","273,986","268,810","275,406","272,449","275,988","256,277","254,261","288,897","328,472","335,319"
"7","[P]","    TENCENT Inc.","264,118","267,441","264,853","266,708","272,969","276,181","280,038","279,937","280,478","285,268","283,652","274,535","285,968","340,079","334,617"
"8","[P]","    Alibaba.com Corporation","212,963","208,185","211,748","207,704","213,129","221,261","226,107","243,191","257,086","262,344","257,643","221,562","254,821","313,176","321,168"
"9","[P]","    Sohu.com Inc.","232,116","233,852","228,400","224,609","244,115","249,030","248,946","254,822","255,678","259,412","259,286","245,316","260,138","312,454","314,511"
"10","[P]","    Apple Inc.","306,808","296,129","301,594","297,900","297,106","289,245","308,688","299,868","300,081","314,241","303,827","289,082","306,872","302,251","306,120"
"11","[P](u)","    Glam Media","212,773","223,379","244,243","215,704","224,483","241,643","252,199","296,357","298,337","296,810","318,758","276,802","294,231","297,215","296,276"
"12","[P](u)","    CBS Interactive","270,398","249,467","247,019","245,461","249,047","255,418","270,247","283,104","283,103","279,517","275,358","245,140","270,899","287,474","291,450"
"13","[P](u)","    Ask Network","263,148","256,039","271,312","266,161","267,977","263,633","240,050","315,681","305,867","317,486","331,927","254,087","273,799","277,281","290,440"
"14","[P](u)","    Youku Inc.","117,610","109,237","104,820","109,842","124,267","124,037","128,844","139,425","146,793","148,691","149,112","131,245","149,580","192,749","266,842"
"15","[P]","    BitTorrent Network","222,911","224,746","231,239","229,281","232,224","229,913","230,739","230,614","231,969","238,517","240,352","236,761","247,655","243,892","244,956"
"16","[P]","    eBay","241,017","238,224","247,162","238,478","245,569","248,452","248,920","252,380","247,262","252,154","246,959","226,441","244,653","240,874","242,756"
"17","[P]","    SINA Corporation","167,814","158,500","157,930","163,349","169,154","173,504","173,198","172,764","178,113","185,155","179,539","161,851","181,686","243,762","238,654"
"18","[P](U)","    AOL, Inc.","221,302","215,274","215,645","215,991","208,658","217,044","218,366","224,968","223,002","220,331","226,026","213,157","221,865","217,725","223,081"
"19","[P](U)","    Tudou Sites","99,255","96,009","80,186","84,486","95,553","94,803","91,206","92,786","112,643","120,807","111,285","88,456","103,767","142,327","208,179"
"20","[P](u)","    Viacom Digital","196,208","192,172","194,945","193,136","186,941","187,928","189,859","193,004","191,589","191,739","189,425","183,334","187,104","187,388","192,496"
"21","[P]","    NetEase.com Inc.","115,776","109,177","109,430","119,691","132,694","136,275","120,893","122,656","129,225","135,638","130,688","108,546","124,012","180,625","187,975"
"22","[P]","    TWITTER.COM","188,006","190,379","200,620","188,483","175,669","170,819","167,131","182,897","181,729","189,780","189,819","175,485","185,095","174,401","186,089"
"23","[P]","    Adobe Sites","158,563","152,712","141,060","137,531","138,414","191,650","163,452","143,165","150,790","135,321","144,067","165,798","169,791","151,617","149,192"
"24","[P]","    Qihoo.com Sites","73,112","81,558","83,534","83,976","86,492","88,519","88,627","94,167","99,759","102,009","105,084","106,631","112,337","142,142","146,925"
"25","[P](u)","    Turner Digital","122,156","112,807","114,584","116,304","108,162","112,121","118,492","129,053","131,446","127,077","125,134","120,602","127,780","139,383","130,310"
"26","[P](U)","    Demand Media","104,273","104,701","112,544","109,050","111,734","122,203","125,615","137,175","127,140","116,938","125,465","125,721","126,716","125,412","121,316"
"27","[P](U)","    DAILYMOTION.COM","98,443","109,532","94,410","90,491","88,594","96,545","100,516","105,828","104,550","110,420","111,915","107,257","112,707","110,322","115,367"
"28","[P]","    KuGou Inc.","60,957","67,871","63,908","68,553","87,601","89,784","92,738","98,090","96,593","97,476","96,191","85,285","92,858","111,190","112,584"
"29","[P]","    Axel Springer AG","88,013","86,941","89,727","88,147","84,994","85,264","90,304","96,058","93,474","101,773","109,402","101,822","107,857","105,601","109,436"
"30","[P](U)","    IDG Network","45,948","41,891","42,878","42,880","41,621","44,903","45,247","45,218","46,011","44,197","46,450","43,500","48,012","102,144","105,833"
